Username,target,semantic_bio_score
jeremy,defunkt,1.0000001192092896
pius,defunkt,1.0000001192092896
aslakhellesoy,defunkt,1.0000001192092896
andy,defunkt,1.0000001192092896
tmc,defunkt,1.0000001192092896
damienmckenna,wayneeseguin,0.36791566014289856
jpemberthy,wayneeseguin,0.35370707511901855
dfischer,wayneeseguin,0.3523152470588684
filiptepper,wayneeseguin,0.33407074213027954
cbartlett,wayneeseguin,0.3299615681171417
zac,brynary,0.5471842288970947
stympy,brynary,0.5405052900314331
vlucas,brynary,0.5373969078063965
scottymac,brynary,0.5315520763397217
dctanner,brynary,0.5223000645637512
zacbrown,macournoyer,0.5644162893295288
danahern,macournoyer,0.5347914695739746
rrichards,macournoyer,0.5298881530761719
whomwah,macournoyer,0.5040399432182312
goshatch,macournoyer,0.502985954284668
krukow,caged,0.6297119855880737
davidbgk,caged,0.6099913120269775
imajes,caged,0.6061303615570068
kdaigle,caged,0.6047357320785522
arthurschreiber,caged,0.5733811855316162
mtodd,topfunky,0.612634003162384
tooky,topfunky,0.6095750331878662
rsanheim,topfunky,0.6091489791870117
indrekj,topfunky,0.596031665802002
obie,topfunky,0.5936781167984009
timperrett,lukas,0.3928683400154114
creiht,lukas,0.3678387701511383
ivansviatenko,lukas,0.3575848340988159
bru,lukas,0.35608047246932983
techpeace,lukas,0.34533190727233887
zac,nitay,0.695685863494873
frederik,nitay,0.6475435495376587
bru,nitay,0.633428692817688
cjse,nitay,0.6287665367126465
woods,nitay,0.6282055377960205
danahern,kevwil,0.6932913064956665
goshatch,kevwil,0.6487754583358765
trashpanda001,kevwil,0.6312616467475891
whomwah,kevwil,0.5890331268310547
thetamind,kevwil,0.5689657330513
pclouds,KirinDave,0.7616478800773621
emkay,KirinDave,0.7305218577384949
lucky,KirinDave,0.5019808411598206
quinn,KirinDave,0.3681662082672119
mgreenly,KirinDave,0.32624199986457825
jnewland,jnewland,1.0000001192092896
jeremy,jnewland,1.0000001192092896
pius,jnewland,1.0000001192092896
bricooke,jnewland,1.0000001192092896
aslakhellesoy,jnewland,1.0000001192092896
pyodor,jwhitmire,0.4130052924156189
toke,jwhitmire,0.3922933042049408
noteflakes,jwhitmire,0.37455254793167114
pusewicz,jwhitmire,0.35834234952926636
muncman,jwhitmire,0.35767924785614014
knzai,knzai,1.0
matthewford,knzai,0.6049247980117798
jamieorc,knzai,0.5829705595970154
dpetersen,knzai,0.5784281492233276
chopmo,knzai,0.573235273361206
rsanheim,rsanheim,1.0000001192092896
obie,rsanheim,0.6847150325775146
ebangug,rsanheim,0.6808579564094543
mutle,rsanheim,0.6742786765098572
dalsgaard,rsanheim,0.6685924530029297
uggedal,uggedal,1.0
bantic,uggedal,0.46244484186172485
matthutchinson,uggedal,0.4147198796272278
sunny,uggedal,0.39289623498916626
ceball,uggedal,0.39278626441955566
bruce,bruce,1.0
babo,bruce,0.6571304798126221
diasjorge,bruce,0.6104120016098022
mlesniak,bruce,0.6003350019454956
thewoolleyman,bruce,0.5991140604019165
mmower,mmower,1.0000001192092896
jeremy6d,mmower,0.6970303058624268
jmettraux,mmower,0.6549752950668335
kevindamm,mmower,0.6327650547027588
dysinger,mmower,0.6314526200294495
abhay,abhay,1.0
nickolai,abhay,0.8504076600074768
uggedal,abhay,0.3699924349784851
cpjolicoeur,abhay,0.3634975552558899
subtleGradient,abhay,0.3572700023651123
rabble,rabble,1.0000001192092896
danielmorrison,rabble,0.6347103118896484
bru,rabble,0.6003628969192505
zac,rabble,0.5940381288528442
frederik,rabble,0.5785629749298096
cnix,jsierles,0.4845468997955322
ilkka,jsierles,0.4552924931049347
Floppy,jsierles,0.434673011302948
math0ne,jsierles,0.43258556723594666
tijs,jsierles,0.419688880443573
mokolabs,jm,0.8003475666046143
speck,jm,0.7642784714698792
bbum,jm,0.7433376312255859
krobertson,jm,0.6947430372238159
timothykim,jm,0.6891757845878601
freeformz,freeformz,1.0
wuputah,freeformz,0.7593837976455688
rwdaigle,freeformz,0.6593234539031982
dust3d,freeformz,0.6419017314910889
therubymug,freeformz,0.6371772289276123
drnic,drnic,1.0
matthewcarriere,drnic,0.4859125018119812
mazdak,drnic,0.4460025429725647
chris,drnic,0.44576120376586914
jeremybower,drnic,0.44323602318763733
HamptonMakes,HamptonMakes,1.0
jerry,HamptonMakes,0.6320698261260986
usergenic,HamptonMakes,0.6120404601097107
avdgaag,HamptonMakes,0.5896549224853516
speck,HamptonMakes,0.5672781467437744
mattetti,mattetti,1.0
halfbyte,mattetti,0.5108964443206787
railsdog,mattetti,0.43931856751441956
kschrader,mattetti,0.41031014919281006
aaronbrethorst,mattetti,0.36269187927246094
grempe,grempe,1.0
obie,grempe,0.598482608795166
woods,grempe,0.5914566516876221
george,grempe,0.5710572004318237
hexorx,grempe,0.5626223087310791
danielrhammond,afarnham,0.6380575299263
protocool,afarnham,0.6361307501792908
hpopp,afarnham,0.6090248823165894
ebangug,afarnham,0.6085524559020996
obie,afarnham,0.6084078550338745
cjse,up_the_irons,0.5651780962944031
nitay,up_the_irons,0.5369911193847656
woods,up_the_irons,0.5261800289154053
bru,up_the_irons,0.5254958868026733
paulca,up_the_irons,0.5047962069511414
pedromg,brosner,0.8220891952514648
rubenlozano,brosner,0.8220891952514648
ramon,brosner,0.8220891952514648
ariejan,brosner,0.8220891952514648
jim,brosner,0.8220891952514648
paulca,danielmorrison,0.7879310846328735
bru,danielmorrison,0.7312264442443848
cjse,danielmorrison,0.6614483594894409
tomtaylor,danielmorrison,0.6564822196960449
lukehoersten,danielmorrison,0.635062038898468
davidhq,collectiveidea,0.6091524362564087
usergenic,collectiveidea,0.5832605361938477
sbusso,collectiveidea,0.5607149004936218
kstewart,collectiveidea,0.4993577301502228
sebug,collectiveidea,0.4981136620044708
borud,canadaduane,0.5602645874023438
lukec,canadaduane,0.5549933314323425
stympy,canadaduane,0.5151359438896179
skyfallsin,canadaduane,0.5032150745391846
obie,canadaduane,0.5000935792922974
bertoldofonseca,corasaurus-hex,0.48206827044487
avdgaag,corasaurus-hex,0.4808477759361267
zacheryph,corasaurus-hex,0.4697580337524414
technicalpickles,corasaurus-hex,0.46377503871917725
endersonmaia,corasaurus-hex,0.46304404735565186
mightymiracleman,dstrelau,0.327376127243042
kiranmeduri,dstrelau,0.3211912512779236
gabriel,dstrelau,0.28550809621810913
zachinglis,dstrelau,0.28385552763938904
cmatthias,dstrelau,0.27771326899528503
robbyrussell,sunny,0.6392973065376282
thibaudgg,sunny,0.6095117330551147
wuputah,sunny,0.6066730618476868
freeformz,sunny,0.6000083684921265
matthewford,sunny,0.5776553153991699
code-later,jnicklas,0.7626946568489075
steveh,jnicklas,0.7594347596168518
peter,jnicklas,0.7284986972808838
billturner,jnicklas,0.718408465385437
cannikin,jnicklas,0.7126554846763611
h3h,stevedekorte,0.5117905139923096
gen2002,stevedekorte,0.4893670082092285
Grayson,stevedekorte,0.47884437441825867
blackrat,stevedekorte,0.4776667356491089
mkrisher,stevedekorte,0.4671075940132141
aub,leahneukirchen,0.4839954972267151
lrtitze,leahneukirchen,0.4298030436038971
lilyball,leahneukirchen,0.3687489628791809
dewitt,leahneukirchen,0.3142392635345459
jstewart,leahneukirchen,0.2704014182090759
fredix,technomancy,0.5241374969482422
imajes,technomancy,0.5116713643074036
kjg,technomancy,0.5107251405715942
kdaigle,technomancy,0.5032224655151367
allison-lara,technomancy,0.5015076994895935
robertknight,rubyist,0.44857582449913025
danielrhammond,rubyist,0.38163939118385315
imajes,rubyist,0.3693912625312805
bkeepers,rubyist,0.3691425323486328
bantic,rubyist,0.3484981060028076
grundprinzip,lazyatom,0.5270715951919556
davidhq,lazyatom,0.48046576976776123
marcopaga,lazyatom,0.47615736722946167
DanielVF,lazyatom,0.4556799530982971
akkartik,lazyatom,0.4346681237220764
Ninju,thewoolleyman,0.6570984721183777
babo,thewoolleyman,0.6208980083465576
charlenopires,thewoolleyman,0.6123338937759399
bruce,thewoolleyman,0.5991140604019165
diasjorge,thewoolleyman,0.5955426692962646
grobie,technicalpickles,0.6493334174156189
bertoldofonseca,technicalpickles,0.63206946849823
wunki,technicalpickles,0.6256431937217712
evansims,technicalpickles,0.6218441724777222
ianwinter,technicalpickles,0.6158626079559326
ilkka,cnix,0.5469707250595093
Floppy,cnix,0.508003830909729
filiptepper,cnix,0.4990476965904236
kivikakk,cnix,0.49380040168762207
jsierles,cnix,0.4845468997955322
caged,heff,0.5214114785194397
george,heff,0.45637285709381104
jamesbritt,heff,0.4391179084777832
robbyrussell,heff,0.42906850576400757
tarcieri,heff,0.4242101013660431
yrashk,aflatter,0.7603974342346191
markjeee,aflatter,0.7513056397438049
pedromg,aflatter,0.7147030830383301
rubenlozano,aflatter,0.7147030830383301
ramon,aflatter,0.7147030830383301
mdeering,rbazinet,0.7391020059585571
HusseinMorsy,rbazinet,0.6833544969558716
billturner,rbazinet,0.6584150195121765
nbarthelemy,rbazinet,0.633463442325592
matthewford,rbazinet,0.6311665177345276
jpzwarte,tranqy,0.4806535243988037
ntalbott,tranqy,0.4745822846889496
evan,tranqy,0.44977203011512756
evansims,tranqy,0.4416424632072449
npverni,tranqy,0.440044105052948
davidbgk,robey,0.6186016201972961
getconor,robey,0.5425140857696533
willnorris,robey,0.5159866809844971
osteele,robey,0.48539286851882935
kneath,robey,0.48318445682525635
arthurschreiber,bkeepers,0.5766165256500244
kdaigle,bkeepers,0.5659953951835632
mutle,bkeepers,0.5555986166000366
robbyrussell,bkeepers,0.542925238609314
mtodd,bkeepers,0.525261640548706
brian-lc,wilson,0.6224225163459778
ebassi,wilson,0.6195647120475769
jeremy6d,wilson,0.6073655486106873
pedromg,wilson,0.5947211384773254
rubenlozano,wilson,0.5947211384773254
zacbir,tommorris,0.44590815901756287
toke,tommorris,0.40151724219322205
ryanw,tommorris,0.3960908353328705
ap,tommorris,0.3910426199436188
krobertson,tommorris,0.3813933730125427
rsanheim,charlesroper,0.6212934255599976
obie,charlesroper,0.599062442779541
jonmagic,charlesroper,0.5570089817047119
kumekay,charlesroper,0.5524110794067383
bomberstudios,charlesroper,0.5491560697555542
bomberstudios,adamwiggins,0.6599420309066772
sbusso,adamwiggins,0.5375049114227295
joao,adamwiggins,0.5354647636413574
charlesroper,adamwiggins,0.5144970417022705
bretthoerner,adamwiggins,0.5129880309104919
nickcoyne,myobie,0.5874491930007935
phsilva,myobie,0.5540962815284729
kwe,myobie,0.5104189515113831
jerry,myobie,0.3663674294948578
amerine,myobie,0.35990118980407715
PhillipTaylor,adam,0.3837682604789734
BJClark,adam,0.3550983667373657
jlsync,adam,0.3035977780818939
stephane,adam,0.29577916860580444
wmorgan,adam,0.2858280539512634
mutle,mtodd,0.7463034987449646
steveh,mtodd,0.727313756942749
timriley,mtodd,0.6959273815155029
mghaught,mtodd,0.6944980621337891
mackstann,mtodd,0.6696064472198486
steveh,paul,0.6605309247970581
rsanheim,paul,0.6486186981201172
mackstann,paul,0.6436100006103516
seflless,paul,0.6369514465332031
bomberstudios,paul,0.6276918649673462
